id,system_group_id,system_program_id
235,2,30
239,2,224
241,2,225
243,2,226
245,2,227
247,2,228
249,2,229
251,2,230
255,2,233
257,2,234
259,2,235
264,2,239
265,1,1
266,1,2
267,1,3
268,1,4
269,1,5
270,1,6
271,1,8
272,1,9
273,1,10
274,1,11
275,1,12
276,1,13
277,1,14
278,1,15
279,1,16
280,1,17
281,1,18
282,1,19
283,1,20
284,1,21
285,1,22
286,1,23
287,1,24
288,1,25
289,1,26
290,1,27
291,1,28
292,1,29
293,1,30
294,1,31
295,1,32
296,1,33
297,1,34
298,1,35
299,1,36
300,1,37
301,1,38
302,1,39
303,1,40
304,1,42
305,1,43
306,1,44
307,1,45
308,1,46
309,1,47
310,1,48
311,1,49
312,1,50
313,1,51
314,1,52
315,1,53
316,1,54
317,1,55
318,1,56
319,1,57
320,1,58
321,1,59
322,1,60
323,1,61
324,1,62
325,1,63
326,1,64
327,1,65
328,1,66
329,1,67
330,1,68
331,1,69
332,1,70
333,1,71
334,1,72
335,1,73
336,1,74
337,1,75
338,1,76
339,1,77
340,1,78
341,1,79
342,1,80
343,1,81
344,1,82
345,1,83
346,1,84
347,1,85
348,1,86
349,1,87
350,1,88
351,1,89
352,1,90
353,1,91
354,1,92
355,1,93
356,1,94
357,1,95
358,1,96
359,1,97
360,1,98
361,1,99
362,1,100
363,1,101
364,1,102
365,1,103
366,1,104
367,1,105
368,1,106
369,1,107
370,1,108
371,1,109
372,1,110
373,1,111
374,1,112
375,1,113
376,1,114
377,1,115
378,1,116
379,1,117
380,1,118
381,1,119
382,1,120
383,1,121
384,1,122
385,1,123
386,1,124
387,1,125
388,1,126
389,1,127
390,1,128
391,1,129
392,1,130
393,1,131
394,1,132
395,1,133
396,1,134
397,1,135
398,1,136
399,1,137
400,1,138
401,1,139
402,1,140
403,1,141
404,1,142
405,1,143
406,1,144
407,1,145
408,1,146
409,1,147
410,1,148
411,1,149
412,1,150
413,1,151
414,1,152
415,1,153
416,1,154
417,1,155
418,1,156
419,1,157
420,1,158
421,1,159
422,1,160
423,1,161
424,1,162
425,1,163
426,1,164
427,1,165
428,1,166
429,1,167
430,1,168
431,1,169
432,1,170
433,1,171
434,1,172
435,1,173
436,1,174
437,1,175
438,1,176
439,1,177
440,1,178
441,1,179
442,1,180
443,1,181
444,1,182
445,1,183
446,1,184
447,1,185
448,1,186
449,1,187
450,1,188
451,1,189
452,1,190
453,1,191
454,1,192
455,1,193
456,1,194
457,1,195
458,1,196
459,1,197
460,1,198
461,1,199
462,1,200
463,1,201
464,1,202
465,1,203
466,1,204
467,1,205
468,1,206
469,1,207
470,1,208
471,1,209
472,1,210
473,1,211
474,1,212
475,1,213
476,1,214
477,1,215
478,1,216
479,1,217
480,1,218
481,1,219
482,1,220
483,1,221
484,1,222
485,1,223
486,1,224
487,1,225
488,1,226
489,1,227
490,1,228
491,1,229
492,1,230
493,1,231
494,1,232
495,1,233
496,1,234
497,1,235
498,1,236
499,1,237
500,1,238
501,1,239
502,1,240
503,1,242
504,1,243
505,1,244
506,1,245
507,1,246
508,1,247
509,1,248
510,1,249
511,1,250
512,1,251
513,1,252
514,1,253
515,1,254
516,1,255
517,1,256
518,1,257
519,1,258
520,1,259
521,1,260
522,1,261
523,1,262
524,1,263
525,1,264
526,1,265
527,1,266
528,1,267
529,1,268
530,1,269
531,1,270
532,1,271
533,1,272
534,1,273
535,1,274
536,1,275
537,1,276
538,1,277
539,1,278
540,1,279
541,1,280
